targetGroup,targetGroupID
100K_QA,209996b8-7b5e-4dfb-9ed0-04f886d745e4
1K_QA,ec6606aa-f825-4dea-a453-9804eb7f9ff0
ACCS_ROOM_OP,3c05aab1-f7d2-4d71-a630-574a6f980b16
ADMIN,e1ed8b4b-1551-4606-a308-a1bedd16066c
APC TECH,ca733a01-ea26-4ec8-afc9-4712a1f92710
AUTOMATION,658b9fdd-bd20-4b35-bc85-4ad398b51a3e
AUTOMATION_TECH,25deac96-ddf8-4554-95ed-f1b4ff0eff1f
DEVELOPEMENT,998ce570-6016-4b21-b220-2dd5e40dccce
EE,fe1d8fd3-50c5-49fe-9fee-69152b69beb9
EE_LEAD,444cb490-684a-4c0d-89f2-320abbd32838
FG-Dashboard,fee415ce-efad-4c37-af8d-7f6a324da1bb
IPPC,262865d0-e1d2-4264-bd79-f17eb97a64d2
KGD - PE (Product Engineer),c7f5979d-5631-410b-980c-89746c6221be
KGD - TPE (Test Process Engineer),a44e5fc3-033b-4cde-bdfa-002c4c94610a
KGD - TPE TECH,09eacd5c-17ed-443b-a2aa-e567090d4bc0
MFG,bbed9916-8d22-4a32-bf49-7b9bf531c316
MFG_LEAD,cc86d38f-eb86-4ec8-9c83-376886bf9b68
NPE,19a86bdd-9fe9-4cfc-9df5-e2e6bb7fdb99
NPI,1d46c992-710a-4b28-8efe-cbf1506e7e76
PE,c082d5be-734d-41e4-806a-14514d948bba
QA,fa88c68c-fe69-4739-8015-7cb78a867c27
REL_Supervisor,bed3db78-4b9d-4bac-b92a-c075403901a5
REL_Technician,b3a7cfc0-00c4-4bca-a4b7-ecb04cb6d3a9
SDSM_IE,1cdfaf36-148f-4042-a80b-9e31ab5a5949
SME,bcc9654d-699e-47dc-a35a-fd6eabae4493
SSD_BE_SUPERVISOR,73d4a44d-1427-412b-a472-5b6289029d5c
SSD_PE,da28539a-e895-43e7-8c9e-ef44da5f2a4e
SSD_QA,f7469824-84bd-48a6-92e3-e89e1c6a6d3e
SSD_REWORK,1008cceb-c8da-4915-8af5-1d13a022d2ca
SUPERVISOR,928901fc-d076-44c6-a8cd-61af584a66c8
SUPERVISOR_SSD,58619089-1c0f-4b22-afee-521de58599d3
SUPPLIER,7a4b1b29-897b-48cf-9e83-88d93d2968bd
TECH,23b492fe-22f2-45f0-934d-a2d8285de62f
WH_WARS,9fc879fe-85ac-4cfc-8b15-ebc5725f6160
